EMA_Span,Derivadas,Rolling,Roll_Window,Squared,MW_Window,N_Features,Components_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
21,True,True,16.0,True,300,36,20,0.019945868759575627,0.9908009109929783,25074.1354,0.0,10,0,2,16,9,10,10
18,False,True,12.0,False,400,22,16,0.019892400617130174,0.9907907307199273,3.1935,0.202551,10,0,2,17,9,11,11
21,False,True,18.0,True,300,29,16,0.02001894473543914,0.9907729305079556,5.7134,0.057459,10,0,2,16,9,10,10
21,True,True,16.0,True,400,36,18,0.019978545586590006,0.9907707450198464,20.2201,4.1e-05,10,0,2,16,9,10,10
18,True,True,18.0,False,300,29,14,0.020046716050800165,0.9907670439250243,7.514,0.023353,10,0,2,17,9,11,11
18,False,True,18.0,True,300,29,16,0.020076922794542724,0.9907391982009377,14.0571,0.000886,10,0,2,17,9,11,11
15,True,True,18.0,True,400,36,20,0.02009933017994534,0.9907383975897737,13.1531,0.001393,11,1,3,18,10,11,11
21,True,True,18.0,False,400,29,18,0.020062797672298804,0.9907324611134677,7.1636,0.027826,10,0,2,16,9,10,10
18,True,True,12.0,True,300,36,20,0.019957687302557814,0.9907301820395852,21567.6601,0.0,10,0,2,17,9,11,11
18,True,True,12.0,False,400,29,20,0.020004298491622094,0.9906868321474567,11.3258,0.003472,10,0,2,17,9,11,11
18,False,True,16.0,False,300,22,20,0.020103331163530944,0.9906750368967779,776.7773,0.0,10,0,2,17,9,11,11
18,False,True,12.0,False,200,22,14,0.0200387278400618,0.9906547468200974,229.3604,0.0,10,0,2,17,9,11,11
15,True,True,12.0,True,200,36,18,0.020082363311812425,0.9906343075395414,208.2667,0.0,11,1,3,18,10,11,11
15,True,True,12.0,False,400,29,20,0.020093713287152124,0.9906237181068361,2.6959,0.259779,11,1,3,18,10,11,11
21,False,True,12.0,False,300,22,14,0.02005827352612266,0.9906160075730056,13.1758,0.001377,10,0,2,16,9,10,10
18,False,True,12.0,True,200,29,14,0.02008839211658653,0.990608366591849,203.2255,0.0,10,0,2,17,9,11,11
18,False,True,18.0,False,300,22,18,0.0202307773810807,0.9905967185775347,3.6604,0.160379,10,0,2,17,9,11,11
18,False,True,18.0,True,300,29,18,0.020231375078879635,0.9905961629485022,17.3604,0.00017,10,0,2,17,9,11,11
21,True,True,16.0,False,400,29,16,0.02020114613423919,0.990563934924207,5.3258,0.069747,10,0,2,16,9,10,10
21,False,True,12.0,False,400,22,16,0.020120530145355274,0.9905576653349998,7.1893,0.027471,10,0,2,16,9,10,10
18,True,True,16.0,False,400,29,18,0.020257280778301637,0.9905316704845238,10.2021,0.00609,10,0,2,17,9,11,11
18,True,True,18.0,False,400,29,20,0.02030395434059481,0.9905285701317997,9.9359,0.006957,10,0,2,17,9,11,11
15,True,True,12.0,True,300,36,16,0.02019587652908672,0.9905281313415021,6.2066,0.0449,11,1,3,18,10,11,11
21,False,True,4.0,True,200,29,20,0.019995560638958583,0.9905098778821557,704.9559,0.0,10,0,2,16,9,10,10
18,False,True,12.0,True,400,29,16,0.020194460059849283,0.9905089279604719,36.2079,0.0,10,0,2,17,9,11,11
15,True,True,16.0,True,400,36,20,0.020303941216010476,0.9905083410512604,10.9547,0.00418,11,1,3,18,10,11,11
21,True,True,18.0,True,300,36,14,0.020314581569398762,0.990498390168555,14.9348,0.000571,10,0,2,16,9,10,10
18,False,True,18.0,False,300,22,16,0.020339569989501146,0.9904953128681719,9.1129,0.010499,10,0,2,17,9,11,11
15,True,True,16.0,True,400,36,18,0.020320516075269923,0.9904928379404309,8.5178,0.014138,11,1,3,18,10,11,11
21,True,True,16.0,True,400,36,16,0.02028525243329913,0.9904851983389291,21.404,2.2e-05,10,0,2,16,9,10,10
18,False,True,16.0,True,300,29,14,0.0203117141553827,0.9904807173863818,13.6913,0.001064,10,0,2,17,9,11,11
21,True,True,12.0,True,300,36,20,0.020204362688015048,0.9904788181104683,52002.8311,0.0,10,0,2,16,9,10,10
21,False,True,18.0,True,200,29,12,0.020347327211668268,0.990467733659079,247.2725,0.0,10,0,2,16,9,10,10
21,False,True,16.0,False,300,22,14,0.020325493325313183,0.9904474108989332,8.1862,0.016688,10,0,2,16,9,10,10
21,False,True,12.0,True,400,29,16,0.020240058257441563,0.9904451457558711,75.2616,0.0,10,0,2,16,9,10,10
21,True,True,18.0,True,400,36,18,0.0203846918245761,0.9904326925490238,19.0106,7.4e-05,10,0,2,16,9,10,10
21,True,True,18.0,True,400,36,16,0.02038614507927689,0.9904313283655222,14.6918,0.000645,10,0,2,16,9,10,10
21,False,True,18.0,True,300,29,14,0.020387558120996623,0.9904300018370625,4.9441,0.084413,10,0,2,16,9,10,10
21,False,True,18.0,False,300,22,18,0.020399276837178064,0.9904189970543533,1.6033,0.448581,10,0,2,16,9,10,10
15,True,True,16.0,False,400,29,20,0.02043663072101661,0.9903838766581998,11.5969,0.003032,11,1,3,18,10,11,11
21,False,True,8.0,True,400,29,18,0.020244675561049103,0.9903564250213146,10.9473,0.004196,10,0,2,16,9,10,10
15,True,True,12.0,True,400,36,20,0.02038805765988411,0.9903470076992154,3.3146,0.190649,11,1,3,18,10,11,11
21,False,True,8.0,False,300,22,16,0.020255264584814442,0.9903463341951773,12.081,0.00238,10,0,2,16,9,10,10
21,False,True,12.0,False,200,22,14,0.02034693349726307,0.9903439727820574,123.1349,0.0,10,0,2,16,9,10,10
