EMA_Span,Derivadas,Rolling,Roll_Window,Squared,N_Features,Best_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
9,True,True,14.0,True,36,8,0.03376739357202526,0.9738031320426096,9.3696,0.009234,13,3,5,21,11,13,13
21,True,True,16.0,False,29,8,0.033661624379196356,0.9737995321909151,51.7789,0.0,10,0,2,16,9,10,10
21,True,True,14.0,True,36,8,0.03359086267972982,0.9737969063792759,213.8092,0.0,10,0,2,16,9,10,10
18,False,True,18.0,False,22,16,0.03384498486957691,0.9736826024968425,62.3498,0.0,10,0,2,17,9,11,11
21,True,True,14.0,False,29,8,0.03373679934646398,0.973568731300187,102.8044,0.0,10,0,2,16,9,10,10
12,False,True,16.0,False,22,8,0.03394393922882213,0.9735284864134042,0.0396,0.980381,12,2,4,19,11,12,12
9,True,True,12.0,False,29,8,0.033879014322058414,0.9735166694467323,26.0054,2e-06,13,3,5,21,11,13,13
15,False,True,14.0,True,29,8,0.03384490696226805,0.9735134400702247,2.678,0.262102,11,1,3,18,10,11,11
21,False,True,18.0,False,22,8,0.03393309637948419,0.9734888594970078,10.7777,0.004567,10,0,2,16,9,10,10
6,True,True,16.0,True,36,8,0.03411445468719313,0.9734339932688651,0.2143,0.898376,14,4,6,22,12,14,14
6,True,True,14.0,False,29,8,0.034166390628612126,0.973237839683428,6.9082,0.031616,14,4,6,22,12,14,14
12,False,True,18.0,True,29,8,0.0342250661833951,0.9732036456585723,0.5493,0.759824,12,2,4,19,11,12,12
12,False,True,4.0,True,29,18,0.03372518578580166,0.9731789073596478,19.4574,6e-05,12,2,4,19,11,12,12
12,True,True,10.0,False,29,8,0.034002202174281834,0.9730930254094416,30.2084,0.0,12,2,4,19,11,12,12
18,True,True,4.0,True,36,10,0.03371888911508463,0.9730716475959544,81.97,0.0,10,0,2,17,9,11,11
18,True,True,14.0,False,29,8,0.034164339179994174,0.9729531472963265,118.8688,0.0,10,0,2,17,9,11,11
3,True,True,18.0,True,36,14,0.03457377267032248,0.9729478717725251,6.046,0.048656,15,6,7,24,14,15,15
27,True,False,,True,22,8,0.03362849610026966,0.9729428093185792,117.2838,0.0,9,0,0,14,8,9,9
27,True,True,6.0,False,29,10,0.03378383339421012,0.9729091592485362,118.6509,0.0,9,0,0,14,8,9,9
18,False,True,6.0,True,29,20,0.03394752947700428,0.9728240889229519,6.5289,0.038217,10,0,2,17,9,11,11
3,True,True,16.0,True,36,14,0.0347386936754536,0.9725718100396805,3.5635,0.168343,15,6,7,24,14,15,15
18,True,True,14.0,True,36,8,0.034487694344753496,0.9724387438208723,183.4378,0.0,10,0,2,17,9,11,11
6,False,True,6.0,True,29,16,0.034376409653485096,0.9724373111697477,6.9034,0.031692,14,4,6,22,12,14,14
27,True,True,4.0,False,29,10,0.034025724942836455,0.9724038740949361,86.4281,0.0,9,0,0,14,8,9,9
27,True,False,,False,15,8,0.03400996051043961,0.9723254819582823,121.4041,0.0,9,0,0,14,8,9,9
3,True,True,18.0,False,29,14,0.03499156709368104,0.9722901178562767,6.39,0.040966,15,6,7,24,14,15,15
6,True,True,4.0,True,36,10,0.03441851622256237,0.9722481218078695,3.582,0.166796,14,4,6,22,12,14,14
6,True,True,6.0,True,36,10,0.03452056483061382,0.9722056618949315,3.5692,0.167864,14,4,6,22,12,14,14
15,True,True,10.0,False,29,8,0.034527203594091505,0.9721949704256331,120.0615,0.0,11,1,3,18,10,11,11
24,False,True,6.0,True,29,20,0.03427454789253864,0.9721768219144562,16.4962,0.000262,10,0,1,15,8,10,10
9,True,True,12.0,True,36,8,0.03475996133294135,0.972121484929068,12.7338,0.001717,13,3,5,21,11,13,13
12,False,True,14.0,True,29,8,0.034783868258521075,0.9720831236216373,1.7359,0.419815,12,2,4,19,11,12,12
24,True,True,6.0,True,36,10,0.034351348628632775,0.9720519925729734,96.9336,0.0,10,0,1,15,8,10,10
15,True,True,10.0,True,36,8,0.034705493181559036,0.9719070730017333,98.5065,0.0,11,1,3,18,10,11,11
3,True,True,16.0,False,29,14,0.035183721505891795,0.9718645587072816,3.696,0.157549,15,6,7,24,14,15,15
21,True,True,12.0,False,29,8,0.034759764133648494,0.9718191432920241,164.6174,0.0,10,0,2,16,9,10,10
